Wall time,Step,Value
1618787524.0479462,1,0.027710286900401115
1618805382.057344,2,0.032149191945791245
1618823240.2629485,3,0.03487995266914368
1618841106.3949072,4,0.03425402194261551
1618858972.7200925,5,0.03530952334403992
1618876868.6092615,6,0.03739467263221741
1618894766.2654266,7,0.03902921453118324
1618912642.3894997,8,0.03933867812156677
1618930551.0716233,9,0.04127509146928787
1618948446.8188999,10,0.04101818799972534
1618966374.8293037,11,0.041775088757276535
1618984342.2438006,12,0.04236390441656113
1619002297.3602655,13,0.04131455719470978
1619020279.1264296,14,0.04200234264135361
1619038163.3724399,15,0.04161032661795616
1619056113.667185,16,0.04187402129173279
1619074030.3744848,17,0.04156453162431717
