Wall time,Step,Value
1619094711.9713454,1,0.029868250712752342
1619112680.1147149,2,0.0335673950612545
1619130552.9420626,3,0.03535710275173187
1619148422.0987594,4,0.03653915226459503
1619166295.0453591,5,0.039474006742239
1619184164.9208677,6,0.04108375310897827
1619202032.88383,7,0.042460549622774124
1619219900.2812402,8,0.04139349237084389
1619237765.3173006,9,0.04161525517702103
1619255642.468195,10,0.0415276437997818
1619273602.80597,11,0.04123717546463013
1619291542.2488937,12,0.04379865154623985
1619309496.575,13,0.04203217104077339
1619327433.5322106,14,0.04059465602040291
1619345404.2156463,15,0.04081116244196892
1619363364.6862624,16,0.04091629385948181
1619381234.3623064,17,0.04099079966545105
1619399217.3867674,18,0.04053843021392822
1619417217.7762542,19,0.04148818552494049
1619435128.1933665,20,0.04019836708903313
1619453046.3329973,21,0.04061422497034073
1619471033.1682725,22,0.039906542748212814
