Wall time,Step,Value
1619077065.7397451,600,5.081438064575195
1619077728.438265,1900,4.1878981590271
1619078026.9232519,2500,4.027571678161621
1619078815.102546,4100,3.7582709789276123
1619078913.0721989,4300,3.719977855682373
1619079060.022968,4600,3.702282428741455
1619079450.4985628,5400,3.5998847484588623
1619079595.138016,5700,3.5587706565856934
1619080318.3673313,7200,3.4088473320007324
1619080463.5838408,7500,3.4419052600860596
1619081431.5327365,9500,3.2937893867492676
1619081814.9364176,10300,3.300784111022949
1619082006.6682239,10700,3.2564754486083984
1619082965.3168118,12700,3.194326400756836
1619083588.4216092,14000,3.1205615997314453
1619084347.2581115,15600,3.115060567855835
1619084488.8001413,15900,3.1110551357269287
1619084913.358926,16800,3.114208459854126
1619085432.4330227,17900,3.072286605834961
1619085668.3254294,18400,3.0515456199645996
1619085762.7010229,18600,3.0617282390594482
1619085809.8840413,18700,2.930881977081299
1619085998.5964365,19100,3.0753371715545654
1619086800.8223393,20800,3.0381224155426025
1619087834.8806794,23000,2.995851755142212
1619088066.993041,23500,3.0087454319000244
1619088763.3619564,25000,3.0375561714172363
1619089041.9640315,25600,2.9747254848480225
1619089274.139584,26100,2.9460389614105225
1619089599.1422048,26800,2.8928983211517334
1619089784.8233132,27200,2.9893105030059814
1619089877.6808555,27400,2.9954423904418945
1619090759.8389113,29300,2.8649277687072754
1619091499.9393382,30900,3.055443286895752
1619091591.651674,31100,3.0965523719787598
1619091956.7217343,31900,3.102581739425659
1619092504.3646731,33100,2.9911861419677734
1619092915.1325076,34000,2.9583587646484375
1619093280.2557533,34800,3.0356831550598145
1619094010.50947,36400,2.9678173065185547
1619094192.2633367,36800,3.0379059314727783
1619097390.1997657,42285,2.8990862369537354
1619097438.4038513,42385,2.805044412612915
1619098258.1042762,44085,2.7038955688476562
1619098402.7718492,44385,2.711493730545044
1619098547.4326522,44685,2.764660120010376
1619099268.5147667,46185,2.7491512298583984
1619099411.080796,46485,2.667067289352417
1619099458.600687,46585,2.7189078330993652
1619099933.7955947,47585,2.7392055988311768
1619100748.3077888,49285,2.687591791152954
1619100844.1719265,49485,2.636601209640503
1619101850.3447762,51585,2.7896595001220703
1619102652.436202,53285,2.683741807937622
1619102888.328352,53785,2.664539098739624
1619104162.0774632,56485,2.6148111820220947
1619104633.884427,57485,2.65238094329834
1619104916.9627044,58085,2.642378807067871
1619105011.3078518,58285,2.6578965187072754
1619105247.160244,58785,2.6471550464630127
1619105294.3332992,58885,2.592891216278076
1619105995.8942807,60385,2.6786630153656006
1619106831.4687634,62185,2.6404571533203125
1619106924.3010864,62385,2.7039873600006104
1619107481.3238757,63585,2.661961555480957
1619107806.2860713,64285,2.6281931400299072
1619107852.7065513,64385,2.6611549854278564
1619107945.5555806,64585,2.685606002807617
1619108084.832624,64885,2.5757553577423096
1619108177.6504793,65085,2.638486623764038
1619108734.6011012,66285,2.6149375438690186
1619109198.803405,67285,2.6058008670806885
1619109749.343916,68485,2.777233839035034
1619109977.5067153,68985,2.78871488571167
1619111163.940443,71585,2.70805287361145
1619111344.8688686,71985,2.794496774673462
1619111525.8073113,72385,2.771682024002075
1619111571.0438993,72485,2.7907614707946777
1619111887.6886072,73185,2.7565670013427734
1619112809.362501,74170,3.5850040912628174
1619113023.2059379,74570,3.2159194946289062
1619113230.4283597,74970,3.0534934997558594
1619113484.6457267,75470,2.9638288021087646
1619113686.4686599,75870,2.8990213871002197
1619114134.2972507,76770,2.8276970386505127
1619114332.5914946,77170,2.725473642349243
1619114430.525302,77370,2.7298202514648438
1619114528.4608629,77570,2.7435460090637207
1619114871.323725,78270,2.6917262077331543
1619115116.1689901,78770,2.644892454147339
1619115214.152345,78970,2.6786882877349854
1619115457.1370256,79470,2.6256368160247803
1619115553.5592735,79670,2.58634614944458
1619115746.4223862,80070,2.5879368782043457
1619115939.268675,80470,2.6420624256134033
1619116228.554184,81070,2.562838077545166
1619116276.7735877,81170,2.5451648235321045
1619117381.5110862,83470,2.5150861740112305
1619117571.633409,83870,2.549718141555786
1619119140.5564034,87170,2.4939870834350586
1619119473.3282366,87870,2.488071918487549
1619119758.556351,88470,2.466738700866699
1619120413.8015907,89870,2.548644781112671
1619120600.888468,90270,2.5326101779937744
1619120928.2608984,90970,2.456641674041748
1619121021.7958376,91170,2.5704379081726074
1619121302.4322362,91770,2.5084269046783447
1619121395.9707394,91970,2.550905466079712
1619122050.745252,93370,2.46846079826355
1619122097.507941,93470,2.4857261180877686
1619122565.183289,94470,2.5242555141448975
1619122705.486978,94770,2.5133652687072754
1619123126.4158957,95670,2.4433486461639404
1619123313.4862764,96070,2.47877836227417
1619123500.545953,96470,2.5363104343414307
1619123914.7300248,97370,2.5264272689819336
1619123960.7525368,97470,2.5088140964508057
1619124236.8613374,98070,2.5200788974761963
1619124282.8795395,98170,2.5587220191955566
1619124512.9968557,98670,2.6393537521362305
1619125065.2092545,99870,2.557088851928711
1619125341.3647895,100470,2.585698127746582
1619125479.4191482,100770,2.48344349861145
1619125893.5717404,101670,2.5378336906433105
1619126399.7810009,102770,2.5514039993286133
1619127273.0353487,104670,2.6750967502593994
1619127861.1093616,105970,2.657153606414795
1619128132.5212152,106570,2.600146770477295
1619128268.22264,106870,2.6839120388031006
1619128358.701663,107070,2.6066510677337646
1619128539.636148,107470,2.626354455947876
1619128811.0352058,108070,2.635690450668335
1619129037.2440763,108570,2.5792336463928223
1619129489.619598,109570,2.642507553100586
1619129761.041057,110170,2.6642398834228516
1619129987.162792,110670,2.680464029312134
1619130999.5967607,111755,3.0798754692077637
1619131255.9754565,112255,2.938904285430908
1619133086.1381614,115955,2.595327138900757
1619133280.840614,116355,2.54533052444458
1619133329.0477214,116455,2.5157368183135986
1619133377.2553957,116555,2.530571937561035
1619134244.8723547,118355,2.4704456329345703
1619134823.4210103,119555,2.462744951248169
1619134871.6295843,119655,2.5024056434631348
1619135158.0168345,120255,2.454512357711792
1619135490.7838676,120955,2.400125026702881
1619136726.8053036,123555,2.4142873287200928
1619137297.2033458,124755,2.4322569370269775
1619137817.59955,125855,2.4452250003814697
1619137957.8952801,126155,2.473196506500244
1619138098.2160187,126455,2.423818588256836
1619139033.6139832,128455,2.395711898803711
1619139314.2649019,129055,2.4363017082214355
1619139641.6959832,129755,2.360201597213745
1619139922.3351793,130355,2.3971617221832275
1619140390.0673568,131355,2.4391512870788574
1619140670.6564171,131955,2.4394021034240723
1619140810.957576,132255,2.4452064037323
1619141325.4515224,133355,2.378317356109619
1619141464.2623982,133655,2.492654323577881
1619141602.3020508,133955,2.467632293701172
1619141648.3148036,134055,2.428788423538208
1619143857.2327209,138855,2.4280877113342285
1619143995.3116634,139155,2.4659388065338135
1619144133.3672435,139455,2.4765851497650146
1619144179.380258,139555,2.4391672611236572
1619145189.896777,141755,2.6058003902435303
1619145732.769819,142955,2.606180191040039
1619145823.2350423,143155,2.6522092819213867
1619146004.2015455,143555,2.5343568325042725
